iter	Passed	Remaining
0	4	907
1	8	847
2	11	767
3	15	750
4	18	712
5	22	714
6	25	694
7	29	710
8	32	696
9	36	686
10	39	671
11	42	668
12	45	659
13	49	660
14	54	668
15	57	657
16	61	658
17	64	647
18	67	646
19	70	636
20	75	639
21	77	628
22	81	628
23	84	619
24	88	617
25	90	608
26	94	606
27	97	597
28	99	588
29	102	581
30	105	573
31	108	568
32	110	560
33	113	555
34	116	549
35	119	543
36	122	539
37	124	531
38	127	527
39	130	521
40	133	516
41	135	510
42	138	504
43	141	500
44	143	495
45	146	491
46	149	487
47	152	482
48	155	478
49	157	473
50	160	469
51	163	464
52	166	460
53	169	457
54	171	451
55	174	448
56	177	444
57	180	440
58	182	436
59	185	432
60	188	430
61	191	426
62	194	423
63	197	418
64	200	415
65	202	411
66	204	406
67	207	403
68	210	398
69	213	395
70	215	392
71	218	387
72	221	384
73	223	380
74	226	377
75	229	373
76	231	370
77	234	366
78	236	362
79	239	359
80	242	356
81	245	353
82	248	350
83	251	346
84	254	344
85	257	341
86	260	338
87	263	335
88	266	332
89	268	328
90	271	324
91	273	321
92	276	317
93	279	315
94	282	311
95	284	308
96	287	305
97	290	302
98	294	300
99	298	298
100	301	295
101	304	292
102	307	289
103	309	285
104	313	283
105	316	280
106	319	277
107	321	274
108	324	270
109	327	268
110	331	265
111	334	262
112	337	259
113	340	256
114	343	254
115	347	251
116	350	248
117	353	245
118	356	242
119	359	239
120	362	236
121	366	234
122	369	231
123	372	228
124	374	224
125	378	222
126	380	218
127	384	216
128	387	213
129	391	210
130	394	207
131	397	204
132	400	201
133	403	198
134	405	195
135	408	192
136	411	189
137	414	186
138	416	182
139	419	179
140	421	176
141	424	173
142	427	170
143	430	167
144	432	164
145	435	160
146	438	157
147	440	154
148	444	152
149	446	148
150	449	145
151	452	142
152	454	139
153	457	136
154	460	133
155	462	130
156	465	127
157	467	124
158	471	121
159	473	118
160	476	115
161	480	112
162	483	109
163	486	106
164	489	103
165	492	100
166	494	97
167	498	94
168	499	91
169	502	88
170	505	85
171	507	82
172	510	79
173	513	76
174	515	73
175	518	70
176	521	67
177	524	64
178	526	61
179	530	58
180	533	55
181	536	53
182	538	50
183	541	47
184	543	44
185	546	41
186	549	38
187	552	35
188	554	32
189	557	29
190	559	26
191	562	23
192	564	20
193	567	17
194	570	14
195	572	11
196	575	8
197	578	5
198	581	2
199	584	0
