,literacy_rate,female_literacy_rate,sc_st_population_share,working_pop_ratio,workers_cultivator_share,workers_agri_labour_share,workers_hh_industry_share,workers_other_share,pop_density_per_sqkm,households_per_village,inhabited_village_ratio,msme_micro_per_1k,msme_small_per_1k,msme_medium_per_1k,msme_total_per_1k,msme_micro_share,msme_small_share,pop_0_6_ratio,gender_ratio_females_per_1k
literacy_rate,1.0,0.9740523339797394,-0.04723665114430726,0.27017320481651025,0.026304280892738865,0.02832394444659836,0.10105522174623811,0.4903928886402986,0.11499183981240434,0.22441398227528528,0.4946800325154601,0.034760542232059405,0.033041234868161004,0.031245904433494294,0.03475672631527445,0.0536702210980174,0.06649991927052,-0.16162547249844125,0.5299100042084601
female_literacy_rate,0.9740523339797394,1.0,-0.02665504677849051,0.1958347077376929,0.0015349857348669212,0.018251860217048325,0.09589803879450332,0.5102109600876567,0.1216406895884859,0.2596621053516865,0.4158912377507805,0.03565654814679911,0.03358716893917657,0.031556666502922985,0.03564941602863151,0.04314425021872911,0.05713916067490711,-0.23081040768667355,0.4623116590462743
sc_st_population_share,-0.04723665114430726,-0.02665504677849051,1.0,0.36510916709402036,0.4000595171275889,-0.2358630062349571,-0.1536573309298935,-0.14846251232410823,-0.3157846367195976,-0.2474370118312968,0.1924795343107394,-0.020515101207799417,-0.02312414027410633,-0.023881504346888165,-0.020550711074956506,-0.018904984926542467,-0.05018650641691893,0.25996741135993384,0.2323828876311535
working_pop_ratio,0.27017320481651025,0.1958347077376929,0.36510916709402036,1.0,0.3234392144310326,0.28573016107704713,0.001900897132522811,-0.1441090568625009,-0.38329819455262126,-0.0062593860015383515,0.5085133757812658,-0.01384913091479984,-0.01670992033420632,-0.01848904750112602,-0.013885125775487141,-0.04678009693083711,-0.05755466530730951,0.015965029577742373,0.6080946112093459
workers_cultivator_share,0.026304280892738865,0.0015349857348669212,0.4000595171275889,0.3234392144310326,1.0,-0.25587283578393394,-0.16719418198702757,-0.317167033809412,-0.32471929125727794,-0.2829500033614223,0.24082966984793955,-0.02027675782232296,-0.019615940323945497,-0.018106463789554966,-0.02027769257514989,0.03887671522244716,0.006043229195451342,0.27807271521465676,0.18965705001285188
workers_agri_labour_share,0.02832394444659836,0.018251860217048325,-0.2358630062349571,0.28573016107704713,-0.25587283578393394,1.0,0.003341746575908194,-0.2586537552037086,0.014143324761041673,0.2461579419837481,0.15323886739362091,-0.02102921575529612,-0.02433147835027697,-0.025581735668976927,-0.021072381741024965,-0.06610676982640601,-0.04899710970199831,-0.16549126061291347,0.20538619322202337
workers_hh_industry_share,0.10105522174623811,0.09589803879450332,-0.1536573309298935,0.001900897132522811,-0.16719418198702757,0.003341746575908194,1.0,0.16492646088037805,0.19892554980809574,0.09856030478636042,0.054118970627640456,0.001609641734627691,0.004132949084853819,0.00629061161242752,0.0016372719268836803,-0.006846471047685927,-0.004899166724765992,-0.055198738513841876,0.11358369427567597
workers_other_share,0.4903928886402986,0.5102109600876567,-0.14846251232410823,-0.1441090568625009,-0.317167033809412,-0.2586537552037086,0.16492646088037805,1.0,0.24079978857991546,0.3238366090705455,0.17016876383059526,0.07474920209079118,0.08161628557559952,0.08312593670133943,0.07485142303544105,0.06679008804942826,0.11353893404038211,-0.18572994681583568,0.13854999257976583
pop_density_per_sqkm,0.11499183981240434,0.1216406895884859,-0.3157846367195976,-0.38329819455262126,-0.32471929125727794,0.014143324761041673,0.19892554980809574,0.24079978857991546,1.0,0.2653550286711781,0.07042929437757986,0.0006898919483664093,0.00605829791489238,0.011542773663244967,0.0007480985498879884,0.019497170001296922,0.029941847877256053,0.2102692225911299,0.039392792412536994
households_per_village,0.22441398227528528,0.2596621053516865,-0.2474370118312968,-0.0062593860015383515,-0.2829500033614223,0.2461579419837481,0.09856030478636042,0.3238366090705455,0.2653550286711781,1.0,0.1311395767405082,0.00794350406490632,0.008504916490896167,0.005897271723788739,0.007950856227527791,-0.0034714924218947336,0.024091533630760508,-0.16343639014967273,0.16245344541318604
inhabited_village_ratio,0.4946800325154601,0.4158912377507805,0.1924795343107394,0.5085133757812658,0.24082966984793955,0.15323886739362091,0.054118970627640456,0.17016876383059526,0.07042929437757986,0.1311395767405082,1.0,0.012941240758548972,0.014344514066241187,0.014630212420399673,0.012961123806164975,0.02737623651078923,0.031264637235289355,0.3551518886599964,0.8028697956840395
msme_micro_per_1k,0.034760542232059405,0.03565654814679911,-0.020515101207799417,-0.01384913091479984,-0.02027675782232296,-0.02102921575529612,0.001609641734627691,0.07474920209079118,0.0006898919483664093,0.00794350406490632,0.012941240758548972,1.0,0.9624470745311636,0.8880327569878581,0.9999958881310907,0.1538207312309868,0.1683057034570913,-0.005111128711748208,0.0008823330136253519
