iter	RMSE
0	3.414053829
1	2.705490173
2	2.199618281
3	1.812129743
4	1.540603538
5	1.365477506
6	1.235145344
7	1.12903766
8	1.05401497
9	0.9818151991
10	0.920693472
11	0.8964960795
12	0.8593172198
13	0.8214008802
14	0.8046678971
15	0.7646556995
16	0.7484959674
17	0.733161143
18	0.7101700824
19	0.6778285855
20	0.6545102118
21	0.6435265224
22	0.6324811464
23	0.6111873125
24	0.5972351487
25	0.5888491154
26	0.5821694787
27	0.5687984393
28	0.5583887762
29	0.5358309859
30	0.5237880663
31	0.5081127492
32	0.4966062768
33	0.4878879517
34	0.4802498984
35	0.4668075617
36	0.4609571408
37	0.4544281574
38	0.4462029847
39	0.4375013633
40	0.430584751
41	0.4249642874
42	0.4198848601
43	0.4148549342
44	0.4095303147
45	0.4023594223
46	0.3880741873
47	0.3833369995
48	0.3782091132
49	0.372347769
50	0.3657870269
51	0.3599782287
52	0.3550673021
53	0.3504018232
54	0.3440519429
55	0.3384745022
56	0.3362327415
57	0.3332692735
58	0.3278607896
59	0.3236207615
60	0.3212107496
61	0.3161667292
62	0.3139713606
63	0.3098200632
64	0.3072888954
65	0.3017169844
66	0.3004599844
67	0.2967333113
68	0.2906186938
69	0.28948776
70	0.2867565437
71	0.281996624
72	0.278288188
73	0.2738175154
74	0.2706544858
75	0.2680305346
76	0.2662451791
77	0.2653586946
78	0.2640026164
79	0.2615391608
80	0.2594690972
81	0.2560555018
82	0.2538757111
83	0.2526459233
84	0.2497492171
85	0.2469441716
86	0.2444526067
87	0.2424083218
88	0.2388438927
89	0.2357105142
90	0.2343413119
91	0.2334784247
92	0.2320615783
93	0.2298244706
94	0.2281222852
95	0.2262511647
96	0.2241575282
97	0.220861854
98	0.2181574455
99	0.2167046202
