filename,relative_path,file_type,size_bytes,sha256,sheets,rows,cols,geographic_level,time_period,source,usefulness,columns
District_Wise_No_of_Registered_Factories_2022_0.csv,data\raw\District_Wise_No_of_Registered_Factories_2022_0.csv,.csv,561,ece4a2157b8b6220a9a9cbaed57663c16b52e70ee134de47552dce02639c40ac,N/A,32,3,District,2022-2024,Karnataka Registered Factories (ASI),High,"Sl. No.,District Name,No. of Factories"
Table3_Principal_Characterstics_By_Major_States_2012-2013.csv,data\raw\Table3_Principal_Characterstics_By_Major_States_2012-2013.csv,.csv,3945,f6a2042f639301defdcd454eaaa883cb68b9f3dfa299fc9f1709739b5d42a976,N/A,34,15,State / National,2010-2013,Annual Survey of Industries (ASI),High,"States,Factories,Fixed Capital,Productive Capital,Invested Capital,Workers,Total Persons Engaged,Wages to Workers,Total Emoluments,Total Input"
Table_6_Principal_Characteristics_by_Rural_-_Urban_Break-up_in_ASI_2011-2012.csv,data\raw\Table_6_Principal_Characteristics_by_Rural_-_Urban_Break-up_in_ASI_2011-2012.csv,.csv,759,3453439c666eecbbf64e21bd3e64e9715202115b46769d27ac0a46904d458caf,N/A,13,15,State / National,2010-2013,Annual Survey of Industries (ASI),High,"Sector,Factories,Fixed Capital,Productive Capital,Invested Capital,Workers,Total Persons Engaged,Wages to Workers,Total Emoluments,Total Input"
asi_result_2010_11_tab2_26mar13.csv,data\raw\asi_result_2010_11_tab2_26mar13.csv,.csv,4313,988325b7a7478bd7f1d7156b6b055c040f08cd5e20b481e88fb11576e2307ba7,N/A,30,16,State / Industry,2010-2013,ASI Aggregate Data,High,"NIC-2008, Description,Factories,Fixed Capital,Productive Capital,Invested Capital,Workers,Total Persons Engaged,Wages to Workers,Total Emoluments"
asi_result_2010_11_tab3_26mar13.csv,data\raw\asi_result_2010_11_tab3_26mar13.csv,.csv,3795,9a26d7bdc4b4ceb636b2e6fc3db381b86907ba4382d674da4b12cd78417e42c4,N/A,33,15,State / National,2010-2013,Annual Survey of Industries (ASI),High,"States,Factories,Fixed  Capital,Productive  Capital,Invested  Capital,Workers,Total Persons Engaged,Wages to  Workers,Total  Emoluments,Total  Input"
asi_result_2010_11_tab4_26mar13.csv,data\raw\asi_result_2010_11_tab4_26mar13.csv,.csv,7713,9a087bc245947bdf020cf22d87088bec675c25c095874fbd4a2c22ade1caaeda,N/A,30,34,State / Industry,2010-2013,ASI Aggregate Data,High,"Characteristics,All India,Jammu & Kashmir,Himachal Pradesh,Punjab,Chandigarh(U.T.),Uttarakhand,Haryana,Delhi,Rajasthan"
asi_result_2010_11_tab5_26mar13.csv,data\raw\asi_result_2010_11_tab5_26mar13.csv,.csv,15998,79d315c4cc7de4856893eb58ee8d876174ba9454cef8dd5a0f458eaff6a42bb0,N/A,31,80,State / Industry,2010-2013,ASI Aggregate Data,High,"Characteristics,ALL,016,089,101,102,103,104,105,106"
asi_result_2010_11_tab6_26mar13.csv,data\raw\asi_result_2010_11_tab6_26mar13.csv,.csv,781,0ccbc0a9a38a33813fed38d2e03e9d2d3379ac7c8c5201e616d1f873235ed815,N/A,14,15,State / National,2010-2013,Annual Survey of Industries (ASI),High,"Sector,Factories,Fixed  Capital,Productive  Capital,Invested  Capital,Workers,Total Persons Engaged,Wages to  Workers,Total  Emoluments,Total  Input"
asi_result_2010_11_tab7_26mar13.csv,data\raw\asi_result_2010_11_tab7_26mar13.csv,.csv,1796,077c12cd65ebb9b717b67409ebdfe9f83af89d93dc3f8ce877105640b7a00970,N/A,13,15,State / Industry,2010-2013,ASI Aggregate Data,High,"Type of Organisation ,Factories,Fixed  Capital,Productive  Capital,Invested  Capital,Workers,Total Persons Engaged,Wages to  Workers,Total  Emoluments,Total  Input"
c3dfe7e6-0cfd-4ddb-8f79-9cb3695d9866.csv,data\raw\c3dfe7e6-0cfd-4ddb-8f79-9cb3695d9866.csv,.csv,36306,86b20dcd83474dfcf358fc63a3ddc3aff5e196bbccc5ae07c0699dfff67d4576,N/A,788,8,District,2023-2024,Udyam MSME Registration Data (Ministry of MSME),High,"state_name,state_id,district_name,lg_dt_code,medium,micro,small,total"
