States,Factories,Fixed Capital,Productive Capital,Invested Capital,Workers,Total Persons Engaged,Wages to Workers,Total Emoluments,Total Input,Total Output,Depreciation,Net Value Added,Rent Paid,Interest Paid
Maharashtra,28949,34492959,44662162,49723272,1233341,1784909,1780272,4668567,81945368,102203201,2384900,17872932,269555,2504532
Gujarat,22587,32612528,42111902,48847310,1046462,1363628,1131969,2490522,96954347,111639522,2797571,11887604,91764,1875466
Tamil Nadu,36869,18724233,23794881,29226006,1602447,1965020,1590899,3109133,51070952,61952533,1745136,9136446,199526,1565171
Karnataka,11753,14515109,19390250,20756478,665597,862203,894324,1914771,33559664,39950881,1043281,5347936,137699,685637
Uttar Pradesh,14440,10271141,15144830,16587389,635759,825537,594401,1363228,31212272,36132854,809331,4111251,93371,938290
Haryana,6163,7839623,9972316,11770544,431425,566595,475282,1207652,23282493,27807701,642033,3883175,312886,595941
Uttarakhand,2911,5299803,7555775,7447010,267268,335300,283011,555961,12582556,16627937,415515,3629866,17096,297548
Rajasthan,8782,6142162,8780833,8835247,339700,443027,355584,724240,16421196,19938133,502976,3013961,43320,430017
Telangana,13656,5847297,2692683,9092956,585728,701110,513743,1009147,12289259,15614886,515453,2810175,47493,379281
Andhra Pradesh,15358,13081848,15065163,16687679,406048,503615,425106,739248,17580868,20712819,749709,2382242,82179,640202
West Bengal,8607,8206693,10280208,12295536,537284,656123,593411,997597,22009272,24718679,481357,2228051,43247,507753
Himachal Pradesh,2654,4009160,5278395,5309958,133727,184833,128913,368557,7038203,9561121,298244,2224673,54104,237093
Madhya Pradesh,4206,13657975,15878473,17702540,223790,302209,255229,576720,13846193,16392982,400674,2146115,19515,428916
Jharkhand,2697,6728469,7753046,8937014,127287,188046,249485,557785,8358559,10851206,401344,2091303,24267,349533
Punjab,12427,3906929,5823180,7061849,468127,583520,407072,736779,14770944,17103386,347972,1984470,28746,463378
Odisha,2854,16377525,17002514,19046035,213079,263651,292511,530189,8897360,11369603,666518,1805725,10573,754126
Chattisgarh,2441,6030773,11025427,7916990,137950,173076,236571,452618,8514861,10352834,316248,1521724,52208,275611
Daman and Diu,1885,922625,1564337,1603496,97567,128442,92208,209096,3114762,4458749,95227,1248760,16380,100678
Kerala,7129,1870369,3205619,3361211,319582,380498,282082,493429,10843126,12179092,164506,1171460,19407,138342
Goa,597,827836,1005709,1339474,37338,55831,56390,149616,2527235,3659659,72468,1059957,8969,40148
Dadra and Nagar Haveli,1413,1969476,3201331,3106908,76279,97422,78549,169715,6463813,7597779,166718,967248,6136,172548
Delhi,3958,1060650,1835582,1950018,78510,119001,100906,254764,4495407,5347872,64387,788079,35755,124624
Assam,3303,1310951,1899877,1927084,140896,167835,95366,177562,4243426,4985210,112554,629229,5337,94497
Jammu and Kashmir,955,524823,701826,917700,49050,60658,41483,76543,2012461,2460187,50619,397106,2982,65354
Sikkim,65,144075,272025,234076,8052,10278,6626,23258,256488,631265,9969,364809,635,3403
Puducherry,911,507747,936193,844952,36945,48527,43258,87899,1729748,1975300,75096,170457,9154,52773
Bihar,3345,646737,894996,1187284,100512,116396,54244,103785,4872288,5168030,165386,130356,3366,39665
Meghalaya,116,349006,408664,427749,9483,11986,9422,16933,247986,349265,24586,76692,1851,28904
Chandigarh (U.T.),297,85345,154292,170997,8315,12599,9674,24147,533525,605139,6676,64938,4166,13251
Tripura,534,33927,34416,51468,25793,28526,7360,10491,96828,136302,4665,34809,383,2631
Nagaland,106,17412,32898,26665,2677,3039,1111,1828,49974,58971,176,8821,59,134
Manipur,128,7561,12249,13946,5213,6084,2763,3341,29584,34912,951,4378,28,702
Andaman and N. Island,24,3256,-4919,4375,398,502,395,605,15568,16526,837,121,8,1177
All India,222120,218026022,278367129,314411215,10051626,12950025,11089620,23805727,501866586,602594536,15533081,85194869,1642164,13807327
