NIC-2008, Description,Factories,Fixed Capital,Productive Capital,Invested Capital,Workers,Total Persons Engaged,Wages to Workers,Total Emoluments,Total Input,Total Output ,Depreciation, Net Value Added,Rent Paid,Interest Paid
24,BASIC METALS,11249,34847595,47428080,46780581,767955,1011699,962412,2053708,54628465,64794410,1756936,8409009,107783,1647882
19,COKE AND REFINED PETROLEUM PRODUCTS,1431,15396228,19526237,23108204,85307,114351,228950,472349,59177157,67971759,1021194,7773408,37835,376859
20,CHEMICALS AND CHEMICAL PRODUCTS,11202,12445679,17656682,17278922,467145,630017,497757,1254050,28015812,35229032,1211744,6001476,96839,703095
10,FOOD PRODUCTS,34023,10128769,16612305,22397425,1199767,1533781,746205,1417993,48817643,54372015,809153,4745219,109837,1132569
28,MACHINERY AND EQUIPMENT N.E.C.,11889,5183131,9425979,9529211,462424,677982,523719,1519121,17197141,22218452,456255,4565055,83214,351560
21,"PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",4658,5591706,9577960,8509306,287665,470138,296482,1017759,9213322,13572797,442440,3917035,37319,270022
29,"MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",5139,9779408,8781942,13211434,559074,715550,689736,1472784,25171273,30044070,1027611,3845185,69669,354375
13,TEXTILES,18584,10856909,13437886,16590797,1237141,1450858,886301,1402446,22393682,27197382,1008102,3795598,40742,800182
23,OTHER NON-METALLIC MINERAL PRODUCTS,22880,10924895,13871255,13591699,739854,925250,458968,909790,10371465,14616648,813644,3431539,115773,463489
27,ELECTRICAL EQUIPMENT,7194,4013378,8199701,7565138,376159,506628,393540,983946,16133795,19839509,356125,3349589,77915,383838
25,"FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT",14844,4524488,6509467,7480582,523221,666663,499225,976537,11947331,15497458,338820,3211307,66563,309553
NA,OTHER INDUSTRIES,8678,15695307,17787748,18259375,200206,313788,172052,435421,15040259,19026960,837911,3148791,135792,457259
22,RUBBER AND PLASTICS PRODUCTS,11852,4708343,6493434,6829067,400636,511842,320713,648932,12117053,15472461,433328,2922080,36972,311769
30,OTHER TRANSPORT EQUIPMENT,2476,2388505,3595878,4212156,209849,260756,241779,460958,8514226,10940271,197630,2228415,22181,140866
26,"COMPUTER, ELECTRONIC AND OPTICAL PRODUCTS",2517,2305770,4235362,3948819,161717,229208,181991,582921,8660002,10872089,289207,1922880,63740,172663
14,WEARING APPAREL,9226,1720781,3120415,3289746,744521,872962,484087,811355,6112796,7656162,166935,1376431,86077,177114
12,TOBACCO PRODUCTS,3493,260784,673406,755105,392946,412422,127460,170114,1727338,2659033,33449,898246,7040,22183
17,PAPER AND PAPER PRODUCTS,6120,3535209,4503840,4536077,196273,249019,170648,330460,4828703,5960453,261995,869755,34022,182486
32,OTHER MANUFACTURING,2783,793833,2657763,2364296,177809,225969,166164,318612,8179000,9090925,80687,831238,28019,113694
11,BEVERAGES,1815,1941742,2852236,2530689,99700,127816,83228,168508,2934954,3861561,150679,775928,12375,87477
18,PRINTING AND REPRODUCTION OF RECORDED MEDIA,4443,1347126,1685742,1729024,103024,158990,94530,284294,2083412,2995460,147294,764753,31388,98118
15,LEATHER AND RELATED PRODUCTS,4072,628586,972999,1337947,251424,292657,155516,245626,2600482,3126391,66224,459686,18870,61201
01,"CROP & ANIMAL PRODUCTION, HUNTING & RELATED SERVICE ACTIVITIES",4338,417647,1014595,1330763,96929,119635,34440,60940,5515461,5946915,38837,392617,4112,82645
33,REPAIR AND INSTALLATION OF MACHINERY AND EQUIPMENT,736,261266,472374,385997,35147,47563,51519,105610,768508,1073786,22592,282686,7874,16510
31,MANUFACTURE OF FURNITURE,1413,257695,408825,479411,44129,57704,40966,92454,926988,1186379,22661,236730,8336,23036
58,PUBLISHING ACTIVITIES,205,238674,348581,281843,8025,16715,13636,53708,200855,375070,18049,156166,3381,9277
16,"WOOD AND PRODUCTS OF WOOD AND CORK, EXCEPT FURNITURE",4126,449538,746142,860192,62193,80842,36282,68907,1440660,1592612,38028,113924,4546,44366
38,"WASTE COLLECTION, TREATMENT & DISPOSAL ACTIVITIES; MATERIALS RECOVERY",182,43579,121846,166204,6521,8118,4043,7043,384882,418961,6677,27402,972,7606
08,OTHER MINING AND QUARRYING,93,14083,18256,17990,5208,5931,2202,3227,5694,12675,1549,5431,148,386
ALL INDIA,ALL INDIA,211660,160700652,222736937,239358002,9901970,12694853,8564552,18329574,385108361,467621696,12055754,70457581,1349336,8802079
