Characteristics,ALL,016,089,101,102,103,104,105,106,107,108,110,120,131,139,141,142,143,151,152,161,162,170,181,182,191,192,201,202,203,210,221,222,231,239,241,242,243,251,252,259,261,262,263,264,265,266,267,268,271,272,273,274,275,279,281,282,291,292,293,301,302,303,304,309,310,321,322,323,324,325,329,331,332,381,382,383,581,Others
Number Of Factories,211660,4338,93,115,436,1052,3307,1493,18549,8394,677,1815,3493,13212,5372,6233,22,2971,1964,2108,1398,2728,6120,4431,12,678,752,4486,6629,87,4658,2697,9155,846,22034,5771,1707,3770,4348,82,10413,1072,154,237,310,523,105,112,3,2832,454,1399,569,925,1015,6203,5686,220,624,4295,125,373,57,29,1892,1413,1384,15,168,98,339,779,630,106,3,40,139,205,8678
Fixed Capital,160700652,417647,14083,113506,135663,531916,1614818,704491,1498637,5379775,149963,1941742,260784,9565529,1291381,1164110,682,555989,224058,404528,17679,431858,3535209,1341288,5839,478774,14917454,9036289,2850523,558867,5591706,1788220,2920123,910100,10014794,27579833,5256427,2011335,1663451,14140,2846897,501733,399091,422030,727186,170419,63337,19859,2114,1476448,436294,790756,262387,606605,440888,3006035,2177096,4211590,385340,5182478,917435,185271,61117,1457,1223225,257695,331557,20243,25526,19814,172704,223989,215942,45325,3650,30736,9193,238674,15695304
Working Capital,62036285,596948,4173,101151,89572,286403,1213531,437352,2415254,1781125,159148,910494,412622,1883992,696985,1145366,3449,250818,131719,212694,34257,262347,968631,318269,20347,374690,3755320,3375419,1634262,201322,3986254,465977,1319115,283474,2662886,7555298,4131593,893594,689480,20028,1275471,582409,8030,2338,801882,306947,175893,51792,301,2150290,294106,912810,143414,370821,314881,2287307,1955542,-2525702,107646,1420590,504346,182127,8918,1850,510131,151130,1337791,25983,23081,24120,196022,256934,144870,66238,9339,10179,58748,109907,2092443
Invested Capital,239358002,1330763,17990,188412,301830,860600,3736576,1187202,5153027,10616614,353166,2530689,755105,14504571,2086226,2275377,2275,1012094,502290,835658,46291,813901,4536077,1717669,11355,927521,22180683,11752066,4777478,749378,8509306,2586321,4242746,1131409,12460291,36496712,7197762,3086107,3190190,26976,4263415,833058,587031,634235,1293645,423758,140403,33750,2940,3138151,780741,1448278,406703,1049858,741408,5184458,4344753,5731246,550806,6929382,1948637,407108,78236,3225,1774951,479411,1529714,28007,54255,32134,340350,379836,275785,110212,4249,30979,130976,281843,18259376
Outstanding Loans,82563795,515129,3505,53752,99630,434934,1005859,402903,1698063,3854531,123683,864047,130168,7203663,936815,900802,430,404688,120821,206142,25700,312557,1950886,721943,11803,210689,2845119,3378801,1579783,159381,2845566,462690,2037721,279847,4438034,15260907,3533922,1073092,666072,5286,1301714,392224,89450,380078,553484,138595,37116,18430,38,967929,311773,690560,101321,606152,224098,1823979,1294770,1294921,269915,2108185,664924,66417,26525,1637,512748,166222,484123,13220,18120,94437,141598,123306,51069,23520,45,25487,21849,61837,6702610
Number of Workers,9901970,96929,5208,14187,27296,46323,89809,78961,277865,639195,26131,99700,392946,1027578,209564,545231,422,198867,74766,176658,7413,54780,196273,102851,173,27323,57984,180191,268246,18708,287665,140171,260465,56849,683005,517292,88980,161683,238246,2458,282517,67538,14903,23243,22584,22555,7481,3322,92,161529,31049,66745,40670,38621,37544,250821,211603,91470,38169,429435,27532,30269,3218,417,148412,44129,105203,767,8428,2495,20344,40572,28279,6869,430,1422,4669,8025,200206
Total Persons Engaged,12694853,119635,5931,17497,32935,57599,116761,112402,364301,795349,36938,127816,412422,1198802,252056,638483,515,233964,90587,202070,9976,70866,249019,158253,737,33450,80901,259132,346965,23920,470138,173524,338317,70506,854743,683351,120404,207944,295064,3057,368542,93456,19400,32163,32065,37258,10141,4561,165,227407,41667,85388,49356,49916,52894,368715,309266,128152,47391,540007,33214,38618,4588,632,183704,57704,132555,1214,10221,3078,28409,50493,36829,10733,510,1945,5663,16715,313786
Wages to Workers,8564552,34440,2202,11470,17366,28764,59038,89126,130370,389960,20112,83228,127460,745748,140553,361661,284,122142,47606,107910,3604,32678,170648,94330,200,40897,188054,265723,205417,26617,296482,135694,185018,44669,414299,657160,157142,148109,267881,1712,229631,75525,14184,21181,29463,26236,12465,2857,79,212666,33988,55086,30797,30329,30674,290815,232905,207528,43111,439097,43670,28477,3933,316,165384,40966,111405,1739,5214,1562,21194,25050,42395,9124,381,1040,2623,13636,172053
Total Emolumnets,18329574,60940,3227,19593,28530,56345,117553,195248,231127,723588,46009,168508,170114,1161025,241421,620793,580,189981,80527,165099,5461,63446,330460,282788,1506,62733,409616,691282,513388,49380,1017759,247206,401726,92913,816877,1466798,300914,285996,498731,3051,474755,184197,46033,64900,123666,128273,27302,8311,241,537016,79376,145491,60250,80041,81771,820099,699022,486417,95512,890855,78656,56907,9618,885,314892,92454,185307,4604,10535,3784,54994,59388,82305,23305,651,2082,4310,53708,435423
Prov. Fund and Other Welfare Exp.,2960431,6402,384,2340,3114,8801,11803,45676,16105,110865,5193,25832,25050,166785,28998,78413,26,16102,11240,23515,384,7906,51535,40952,151,9409,154648,159637,88899,11054,142305,44981,45080,13919,122457,252625,65822,41255,55272,533,60289,33137,7246,10328,21319,21798,3408,1101,17,90833,14316,21902,9270,13407,11772,144215,117922,103847,17632,150344,16401,8956,1624,318,51733,10724,19497,1014,1638,488,8660,8383,8557,3989,48,298,530,7571,60430
