Type of Organisation ,Factories,Fixed  Capital,Productive  Capital,Invested  Capital,Workers,Total Persons Engaged,Wages to  Workers,Total  Emoluments,Total  Input,Total Output,Depreciation, Net Value  Added,Rent Paid,Interest  Paid
Individual Proprietorship,50415,2422744,4178754,4479571,1047476,1249946,492684,721380,11231192,13132332,234148,1666991,44717,244433
Joint Family(HUF),1369,70590,176238,161876,29239,40283,15067,26355,536141,602592,8406,58045,1179,11584
Partnership,54211,5223782,10808065,11103707,1708325,2113662,917743,1586934,31729835,36837240,607581,4499824,84125,672690
Public  limited company,14005,96043688,127046416,135739948,3091663,4048584,3532067,8128236,190590953,235696514,6908299,38197262,628714,4352686
Private limited company,50075,47637151,69243452,73330685,3615644,4675851,2910659,6446629,122556379,146106087,3696114,19853594,556472,2944218
Govt Dept. Enterprises,467,1569395,1844285,1809376,43046,56867,66829,141452,1221244,1685880,89080,375556,2100,38557
Public Corporation,400,5798437,7403467,8458406,147862,209387,409777,841420,19748095,25076468,361550,4966824,19027,248721
Corporate  Sector(4+5+6+7),64947,151048671,205537620,219338415,6898215,8990689,6919332,15557737,334116671,408564949,11055043,63393236,1206313,7584182
Khadi & Village Industry,139,8568,23652,18242,2528,3359,1468,2297,19413,24675,604,4657,63,499
Handloom Industry,24,363,1509,1114,522,631,138,305,1605,2145,50,490,10,15
Co-operative Society,2040,1803972,1818537,4085500,198836,273054,201352,405461,7262689,8154012,140285,751038,11967,284680
Others (Incl NR),38515,121962,192562,169579,16828,23229,16766,29104,210814,303751,9637,83301,963,3997
TOTAL,211660,160700652,222736937,239358002,9901970,12694853,8564552,18329574,385108361,467621696,12055754,70457581,1349336,8802079
