Sl.No.,District,Upto 20 workers,21 to 50 workers,51 to 100 workers,101 to 250 workers,251 to 500,501 to 1000,1001 & Above
1,Bangalore Urban,2791,2589,1233,827,261,131,104
2,Bangalore Rural,246,313,186,139,46,27,19
3,Ramanagara,99,142,93,63,26,11,7
4,Chitradurga,162,47,12,4,5,0,2
5,Davanagere,203,67,24,12,4,0,0
6,Kolar,145,127,69,49,22,8,11
7,Chikkaballapur,52,32,22,16,8,3,2
8,Shivamogga,156,84,37,18,7,1,6
9,Tumakuru,264,212,74,62,16,9,5
10,Chikkamagaluru,81,25,12,4,1,0,1
11,Dakshina Kannada,335,276,112,56,14,6,4
12,Udupi,127,174,99,76,16,2,1
13,Hassan,56,40,26,7,5,6,5
14,Madikeri ,31,28,7,4,1,0,0
15,Mandya,84,56,15,7,9,4,1
16,Mysore ,268,219,93,76,29,16,19
17,Chamarajanagar,18,14,8,2,1,1,0
18,Belagavi,363,251,133,72,26,11,8
19,Bijapur,57,32,11,8,7,2,1
20,Bagalkote,29,17,9,10,9,8,2
21,Dharwad,292,210,104,46,10,5,5
22,Gadag,69,42,12,3,2,1,0
23,Haveri,104,47,11,6,2,3,1
24,Uttara Kannada,54,22,31,15,1,1,3
25,Ballary,254,54,32,28,12,7,4
26,Bidar,61,48,21,13,3,3,0
27,Kalburagi,113,29,19,5,3,9,3
28,Yadgir,58,25,1,1,1,0,0
29,Raichur,321,74,14,6,1,1,2
30,Koppal,144,47,15,14,3,3,3
31,Vijayanagar,107,26,4,2,2,0,0
