Sl.No.,District,Upto 20 workers,21 to 50 workers,51 to 100 workers,101 to 250 workers,251 to 500,501 to 1000,1001 & Above
1,Bangalore Urban,2976,2517,1328,826,268,124,115
2,Bangalore Rural,398,326,209,158,48,33,26
3,Ramanagara,173,156,98,76,33,16,11
4,Chitradurga,168,42,12,6,5,0,3
5,Davanagere,188,56,24,12,4,0,0
6,Kolar,142,113,63,41,19,7,10
7,Chikkaballapur,65,32,19,14,9,4,3
8,Shivamogga,148,82,37,18,7,1,6
9,Tumakuru,288,234,79,62,24,15,9
10,Chikkamagaluru,76,27,12,4,1,0,1
11,Dakshina Kannada,328,252,117,61,14,6,4
12,Udupi,124,179,105,79,17,2,1
13,Hassan,52,42,28,8,6,4,5
14,Madikeri ,29,28,7,4,1,0,0
15,Mandya,89,62,14,7,9,4,1
16,Mysore ,307,219,93,76,28,15,18
17,Chamarajanagar,26,16,8,2,1,1,0
18,Belagavi,398,244,125,68,26,11,8
19,Bijapur,69,24,8,8,7,2,1
20,Bagalkote,33,11,9,5,9,8,2
21,Dharwad,308,198,104,52,10,6,5
22,Gadag,76,43,16,5,2,1,0
23,Haveri,104,36,14,6,2,3,1
24,Uttara Kannada,45,42,32,17,1,1,3
25,Ballary,215,55,42,32,8,4,4
26,Bidar,59,46,21,13,3,3,0
27,Kalburagi,112,28,21,5,3,6,3
28,Yadgir,61,22,1,1,1,0,0
29,Raichur,339,76,17,8,1,1,2
30,Koppal,156,42,18,14,3,3,3
31,Vijayanagar,68,4,2,0,0,0,0
