mae,rmse,r2,smape,wape,median_ae,spearman,district,sample_count
2139.5611,3084.2647,-0.2616,38.8009,36.889,1305.0034,0.287,Dhalai,15
2669.1165,2878.7652,-11.8068,100.7861,193.4142,2368.0032,0.0851,Haridwar,10
1771.6524,1978.2664,-7.2217,61.5165,88.5826,1509.5318,0.6339,Jalaun (Orai),10
2183.5298,2483.5398,-21.2481,89.883,164.4224,1844.5318,0.1581,Khiri (Lakhimpur),10
2520.1694,3505.8989,-1.5289,62.8336,89.1722,1729.5318,0.8246,Mau(Maunathbhanjan),11
750.4544,1025.974,0.638,15.553,17.1431,608.5818,0.8746,Tiruvannamalai,29
562.2501,808.0493,0.8467,12.9848,12.9444,383.4879,0.9117,Tiruvarur,39
1246.6532,2221.2193,0.815,19.8242,18.3542,613.1102,0.8767,Tuticorin,96
1108.1479,1711.3983,0.9064,20.8316,19.5359,833.6757,0.856,Vellore,295
1097.1938,1975.3351,0.6472,19.1516,20.8572,616.5121,0.8016,Villupuram,119
852.5803,1531.659,0.7698,16.1749,17.3809,510.8903,0.8568,Virudhunagar,237
