rel_path,filename,format,size_kb,num_rows,num_cols,missing_pct,duplicates,source_owner,official_url,coverage_period,geographic_coverage,product_coverage,price_unit,frequency,suitable_for_training,target_leakage_risk,limitations,important_columns
raw\agriculture\census\2011-IndiaStateDist-0000.xlsx,2011-IndiaStateDist-0000.xlsx,xlsx,1349.28,2028,94,0.0,0,"Office of the Registrar General & Census Commissioner, India",https://censusindia.gov.in,Census 2011,640 Districts across 35 States/UTs,"Demographics, Literacy, Workforce",Counts / Ratios,Decennial,True,Low (Historical baseline demographic context).,Decennial 2011 static baseline.,"State, District, Subdistt, Town/Village, Ward, EB, Level, Name, TRU, No_HH..."
raw\agriculture\census\2011-IndiaStateDistSbDistTwn-0000.xlsx,2011-IndiaStateDistSbDistTwn-0000.xlsx,xlsx,15668.38,28389,94,0.0,0,"Office of the Registrar General & Census Commissioner, India",https://censusindia.gov.in,Census 2011,"5,988 Sub-districts / Talukas","Demographics, Literacy, Workforce",Counts / Ratios,Decennial,True,Low (Historical baseline demographic context).,Decennial 2011 static baseline.,"State, District, Subdistt, Town/Village, Ward, EB, Level, Name, TRU, No_HH..."
raw\agriculture\census\A-1_NO_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA.xlsx,A-1_NO_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA.xlsx,xlsx,2183.26,20023,15,0.21,4,Census 2011 A-1 Table,https://censusindia.gov.in,Census 2011,Districts / Sub-districts,"Inhabited Villages, Households, Area (sq km)",Counts / Area,Decennial,True,Low.,Decennial 2011 static baseline.,"A-1 NUMBER OF VILLAGES, TOWNS, HOUSEHOLDS, POPULATION AND AREA, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9..."
raw\auxiliary\prev\asi_result_2010_11_tab2_26mar13.csv,asi_result_2010_11_tab2_26mar13.csv,csv,4.21,30,16,0.21,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"NIC-2008,  Description, Factories, Fixed Capital, Productive Capital, Invested Capital, Workers, Total Persons Engaged, Wages to Workers, Total Emoluments..."
raw\auxiliary\prev\asi_result_2010_11_tab3_26mar13.csv,asi_result_2010_11_tab3_26mar13.csv,csv,3.71,33,15,0.0,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"States, Factories, Fixed  Capital, Productive  Capital, Invested  Capital, Workers, Total Persons Engaged, Wages to  Workers, Total  Emoluments, Total  Input..."
raw\auxiliary\prev\asi_result_2010_11_tab4_26mar13.csv,asi_result_2010_11_tab4_26mar13.csv,csv,7.53,30,34,0.0,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"Characteristics, All India, Jammu & Kashmir, Himachal Pradesh, Punjab, Chandigarh(U.T.), Uttarakhand, Haryana, Delhi, Rajasthan..."
raw\auxiliary\prev\asi_result_2010_11_tab5_26mar13.csv,asi_result_2010_11_tab5_26mar13.csv,csv,15.62,31,80,3.23,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"Characteristics, ALL, 016, 089, 101, 102, 103, 104, 105, 106..."
raw\auxiliary\prev\asi_result_2010_11_tab6_26mar13.csv,asi_result_2010_11_tab6_26mar13.csv,csv,0.76,14,15,78.57,10,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"Sector, Factories, Fixed  Capital, Productive  Capital, Invested  Capital, Workers, Total Persons Engaged, Wages to  Workers, Total  Emoluments, Total  Input..."
raw\auxiliary\prev\asi_result_2010_11_tab7_26mar13.csv,asi_result_2010_11_tab7_26mar13.csv,csv,1.75,13,15,0.0,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"Type of Organisation , Factories, Fixed  Capital, Productive  Capital, Invested  Capital, Workers, Total Persons Engaged, Wages to  Workers, Total  Emoluments, Total  Input..."
raw\auxiliary\prev\c3dfe7e6-0cfd-4ddb-8f79-9cb3695d9866.csv,c3dfe7e6-0cfd-4ddb-8f79-9cb3695d9866.csv,csv,35.46,788,8,0.0,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"state_name, state_id, district_name, lg_dt_code, medium, micro, small, total"
raw\auxiliary\prev\District_Wise_No_of_Registered_Factories_2022_0.csv,District_Wise_No_of_Registered_Factories_2022_0.csv,csv,0.55,32,3,3.12,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"Sl. No., District Name, No. of Factories"
raw\auxiliary\prev\f8cd85a1-f9b8-4ff1-b195-9f75c10eb338.csv,f8cd85a1-f9b8-4ff1-b195-9f75c10eb338.csv,csv,35.95,788,8,0.0,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"state_name, state_id, district_name, lg_dt_code, medium, micro, small, total"
