state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,original_price,original_unit,normalized_price,normalized_unit,is_unit_usable
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Amaranthus,Other,FAQ,2026-09-05,3000.0,6000.0,4500.0,4500.0,quintal,4500.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Ashgourd,Other,FAQ,2026-09-05,2500.0,5000.0,3500.0,3500.0,quintal,3500.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Banana,Banana - Ripe,Local,2026-09-05,3000.0,6000.0,4500.0,4500.0,quintal,4500.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Banana - Green,Other,FAQ,2026-09-05,2500.0,5000.0,3500.0,3500.0,quintal,3500.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Bhindi(Ladies Finger),Other,FAQ,2026-09-05,3000.0,6000.0,4500.0,4500.0,quintal,4500.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Bitter gourd,Other,FAQ,2026-09-05,3000.0,6000.0,4500.0,4500.0,quintal,4500.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Black Gram(Urd Beans)(Whole),Other,FAQ,2026-09-05,8000.0,12000.0,9500.0,9500.0,quintal,9500.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Bottle gourd,Other,FAQ,2026-09-05,2500.0,5000.0,3500.0,3500.0,quintal,3500.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Brinjal,Other,FAQ,2026-09-05,5000.0,10000.0,7000.0,7000.0,quintal,7000.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Coconut,Coconut,FAQ,2026-09-05,20.0,40.0,30.0,30.0,quintal,30.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Coriander(Leaves),Local,FAQ,2026-09-05,20000.0,30000.0,25000.0,25000.0,quintal,25000.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Cowpea(Veg),Cowpea (Veg),FAQ,2026-09-05,2000.0,4000.0,3000.0,3000.0,quintal,3000.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Cucumbar(Kheera),Other,FAQ,2026-09-05,2500.0,5000.0,3500.0,3500.0,quintal,3500.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Drumstick,Other,FAQ,2026-09-05,10000.0,20000.0,15000.0,15000.0,quintal,15000.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Ginger(Green),Other,FAQ,2026-09-05,15000.0,25000.0,20000.0,20000.0,quintal,20000.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Green Chilli,Other,FAQ,2026-09-05,50000.0,60000.0,55000.0,55000.0,quintal,55000.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Green Gram(Moong)(Whole),Other,FAQ,2026-09-05,8000.0,12000.0,9500.0,9500.0,quintal,9500.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Lemon,Other,FAQ,2026-09-05,3.0,7.0,5.0,5.0,quintal,5.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Little gourd(Kundru),Other,FAQ,2026-09-05,2500.0,5000.0,3500.0,3500.0,quintal,3500.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Papaya(Raw),Other,FAQ,2026-09-05,2000.0,4000.0,3000.0,3000.0,quintal,3000.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Pumpkin,Other,FAQ,2026-09-05,4000.0,8000.0,6000.0,6000.0,quintal,6000.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Ridgeguard(Tori),Other,FAQ,2026-09-05,2000.0,4000.0,3000.0,3000.0,quintal,3000.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Snakeguard,Other,FAQ,2026-09-05,2000.0,4000.0,3000.0,3000.0,quintal,3000.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Tender Coconut,Tender Coconut,Medium,2026-09-05,25.0,50.0,35.0,35.0,quintal,35.0,₹/quintal,True
Andaman And Nicobar,North And Middle Andaman,Diglipur Vegetable Market (Subhashgram),Turmeric,Other,FAQ,2026-09-05,20000.0,30000.0,25000.0,25000.0,quintal,25000.0,₹/quintal,True
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley APMC,Turmeric,Finger,Grade Range-1,2026-09-05,11500.0,12000.0,11750.0,11750.0,quintal,11750.0,₹/quintal,True
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Groundnut,Local,FAQ,2026-09-05,6500.0,7500.0,7000.0,7000.0,quintal,7000.0,₹/quintal,True
Andhra Pradesh,Anakapally,Yellamanchili APMC,Paddy(Common),1001,Local,2026-09-05,2390.0,2450.0,2400.0,2400.0,quintal,2400.0,₹/quintal,True
Andhra Pradesh,Ananthapuramu,Gooti APMC,Cotton,Bramha,Grade Range-1,2026-09-05,5211.0,9961.0,9769.0,9769.0,quintal,9769.0,₹/quintal,True
Andhra Pradesh,Ananthapuramu,Gooti APMC,Groundnut,Local,Grade Range-1,2026-09-05,5499.0,6700.0,5900.0,5900.0,quintal,5900.0,₹/quintal,True
Andhra Pradesh,Ananthapuramu,Gooti APMC,Red gram/Arhar/Tur(whole),Local,Grade Range-1,2026-09-05,4900.0,6500.0,5700.0,5700.0,quintal,5700.0,₹/quintal,True
Andhra Pradesh,Ananthapuramu,Guntakal APMC,Bengal Gram(Gram)(Whole),Gulabi,Local,2026-09-05,6100.0,6300.0,6200.0,6200.0,quintal,6200.0,₹/quintal,True
Andhra Pradesh,Ananthapuramu,Guntakal APMC,Groundnut,Local,Local,2026-09-05,7000.0,8000.0,7500.0,7500.0,quintal,7500.0,₹/quintal,True
Andhra Pradesh,Ananthapuramu,Guntakal APMC,Red gram/Arhar/Tur(whole),Local,Local,2026-09-05,7000.0,8200.0,7500.0,7500.0,quintal,7500.0,₹/quintal,True
Andhra Pradesh,Ananthapuramu,Kalyandurg APMC,Groundnut,Local,Grade Range-1,2026-09-05,8000.0,8500.0,8300.0,8300.0,quintal,8300.0,₹/quintal,True
