commodity_name,commodity_code,commodity_weight,date_code,wpi_index,date
(A).  FOOD ARTICLES,1101000000,15.25585,INDX042012,106.2,2012-04-01
(A). COAL,1201000000,2.13813,INDX042012,100.9,2012-04-01
(A). MANUFACTURE OF FOOD PRODUCTS,1301000000,9.12173,INDX042012,105.5,2012-04-01
(B).  NON-FOOD ARTICLES,1102000000,4.11894,INDX042012,107.6,2012-04-01
(B). MANUFACTURE OF BEVERAGES,1302000000,0.90907,INDX042012,101.9,2012-04-01
(B). MINERAL OILS,1202000000,7.94968,INDX042012,111.2,2012-04-01
(C).  MINERALS,1103000000,0.83317,INDX042012,103.3,2012-04-01
(C). ELECTRICITY,1203000000,3.06409,INDX042012,97.4,2012-04-01
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,INDX042012,106.1,2012-04-01
(D). CRUDE PETROLEUM & NATURAL GAS,1104000000,2.4096,INDX042012,113.2,2012-04-01
(D). MANUFACTURE OF TEXTILES,1304000000,4.88068,INDX042012,100.8,2012-04-01
(E). MANUFACTURE OF WEARING APPAREL,1305000000,0.81414,INDX042012,111.2,2012-04-01
(F). MANUFACTURE OF LEATHER AND RELATED PRODUCTS,1306000000,0.5354,INDX042012,105.0,2012-04-01
(G). MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK,1307000000,0.77181,INDX042012,107.0,2012-04-01
(H). MANUFACTURE OF PAPER AND PAPER PRODUCTS,1308000000,1.11322,INDX042012,102.1,2012-04-01
(I). PRINTING AND REPRODUCTION OF RECORDED MEDIA,1309000000,0.67622,INDX042012,108.0,2012-04-01
(J). MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,1310000000,6.46505,INDX042012,105.6,2012-04-01
"(K). MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",1311000000,1.99345,INDX042012,101.0,2012-04-01
(L). MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS,1312000000,2.29851,INDX042012,102.7,2012-04-01
(M). MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,1313000000,3.20176,INDX042012,107.4,2012-04-01
(N). MANUFACTURE OF BASIC METALS,1314000000,9.64632,INDX042012,105.9,2012-04-01
"(O). MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT",1315000000,3.15498,INDX042012,103.1,2012-04-01
"(P). MANUFACTURE OF COMPUTER, ELECTRONIC AND OPTICAL PRODUCTS",1316000000,2.00875,INDX042012,99.7,2012-04-01
(Q). MANUFACTURE OF ELECTRICAL EQUIPMENT,1317000000,2.9297,INDX042012,104.1,2012-04-01
(R). MANUFACTURE OF MACHINERY AND EQUIPMENT,1318000000,4.78899,INDX042012,102.2,2012-04-01
"(S). MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",1319000000,4.96853,INDX042012,98.4,2012-04-01
(T). MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,1320000000,1.64777,INDX042012,98.8,2012-04-01
(U). MANUFACTURE OF FURNITURE,1321000000,0.72672,INDX042012,103.9,2012-04-01
(V). OTHER MANUFACTURING,1322000000,1.06417,INDX042012,92.9,2012-04-01
2/3 wheeler Tyre,1312010003,0.0403,INDX042012,101.7,2012-04-01
2/3 wheeler rubber tube,1312010009,0.01601,INDX042012,102.7,2012-04-01
A C Motor,1317010005,0.02218,INDX042012,101.5,2012-04-01
ACSR Conductors,1317040004,0.04741,INDX042012,100.3,2012-04-01
API & formulations of vitamins,1311010007,0.70266,INDX042012,103.3,2012-04-01
ATF,1202000004,0.31991,INDX042012,113.7,2012-04-01
Acetic acid and Its Derivatives,1310010004,0.02452,INDX042012,102.8,2012-04-01
Acrylic fibre,1310080002,0.04353,INDX042012,103.9,2012-04-01
Acrylic/plastic sheet,1312030015,0.01563,INDX042012,106.1,2012-04-01
Additive,1310070009,0.08986,INDX042012,103.2,2012-04-01
Adhesive excluding gum,1310070004,0.12705,INDX042012,105.3,2012-04-01
Adhesive tape (non-medicinal),1310070005,0.02592,INDX042012,98.9,2012-04-01
Aerated drinks/soft drinks (incl. soft drink concentrates),1302030001,0.25793,INDX042012,102.0,2012-04-01
Agarbatti,1310060005,0.02364,INDX042012,101.4,2012-04-01
Agricultural tractors,1318090001,0.52772,INDX042012,103.9,2012-04-01
Agriculture implements,1318090003,0.26218,INDX042012,101.5,2012-04-01
Agro chemical formulation,1310040002,0.06434,INDX042012,106.0,2012-04-01
Air Coolers,1317060003,0.00697,INDX042012,100.4,2012-04-01
Air conditioner,1316040002,0.20393,INDX042012,100.8,2012-04-01
Air conditioning plant,1318080003,0.00015,INDX042012,100.7,2012-04-01
