Sl. No.,District Name,No. of Factories
1,Bangalore  Urban,7936
2,Bangalore Rural,976
3,Ramanagara,441
4,Chitradurga,232
5,Davanagere,310
6,Kolar,431
7,Chikkaballapur,135
8,Shivamogga,309
9,Tumakuru,642
10,Chikkamagaluru,124
11,Dakshina Kannada,803
12,Udupi ,495
13,Hassan,145
14,Madikeri,71
15,Mandya,176
16,Mysore,720
17,Chamarajanagar,44
18,Belagavi,864
19,Bijapur,118
20,Bagalkote,84
21,Dharwad,672
22,Gadag,129
23,Haveri,174
24,Uttara Kannada,127
25,Ballary,391
26,Bidar,149
27,Kalburagi,181
28,Yadgir,86
29,Raichur,419
30,Koppal,229
31,Vjayanagara,141
,,
