Sector,Factories,Fixed Capital,Productive Capital,Invested Capital,Workers,Total Persons Engaged,Wages to Workers,Total Emoluments,Total Input,Total Output,Depreciation,Net Value Added,Rent Paid,Interest Paid
Rural,80961,108656996,132015280,151753661,4546984,5718321,3928748,8103362,224368580,276582836,7835893,44378363,694392,5909762
Urban,136593,86298092,121819254,132255849,5891381,7711635,6056831,13369986,255497978,301019517,6229612,39291928,925137,6155870
Total,217554,194955088,253834534,284009510,10438365,13429956,9985579,21473349,479866558,577602354,14065505,83670291,1619529,12065632
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
