States,Factories,Fixed  Capital,Productive  Capital,Invested  Capital,Workers,Total Persons Engaged,Wages to  Workers,Total  Emoluments,Total  Input,Total Output,Depreciation,Net Value  Added,Rent Paid,Interest  Paid
Maharashtra,27892,23261161,29971446,35473725,1203023,1698122,1405055,3514289,61689519,78536268,1877181,14969569,244258,1499418
Gujarat,21282,27196584,35117253,39960561,992050,1295334,855537,1947460,69716108,80678350,2017464,8944778,97885,1107421
Tamil Nadu,36848,14796543,21373242,23256442,1592571,1943319,1242119,2392914,38665358,47212225,1347545,7199321,183953,1004386
Andhra Pradesh,26286,16010879,20065587,22614430,1040473,1300892,764103,1401902,27507047,34356018,1071070,5777901,145599,742904
Uttar Pradesh,13756,7485582,12185171,12346903,626446,808666,482410,1121446,24088937,29221560,694494,4438129,77460,524362
Karnataka,10722,10868616,15594016,15344622,609005,781716,593228,1325360,23701687,28594965,807202,4086077,121488,473895
Uttarakhand,2739,3614107,4976814,5257320,234079,288261,196389,372522,7670455,10583763,278540,2634767,18841,176908
Haryana,5967,5151447,8037716,8663311,427346,546260,396370,899848,18532881,21526888,526127,2467880,63583,374734
West Bengal,8232,5932796,8262260,9329431,513975,635626,455432,847407,18097837,20611103,427295,2085971,47855,406879
Punjab,12770,3390757,5889909,6396735,485029,613926,323478,582977,12536242,14866258,295064,2034953,41833,328742
Jharkhand,2504,6364140,8196721,8879975,128410,188090,185383,430379,7460944,9720666,307939,1951782,19027,239696
Himachal Pradesh,2210,3444081,4386179,4610301,119818,156396,94514,245948,5120552,7184348,242920,1820876,21354,144793
Madhya Pradesh,4212,4635392,6769298,7053688,232158,310944,205010,453081,9561815,11589804,282894,1745095,24728,328507
Rajasthan,8172,5051634,7568362,7341468,337868,431800,262336,545076,12821670,15004752,460180,1722902,33063,329578
Odisha,2536,12166281,12753831,14174832,229404,282860,260723,465713,7069789,9214154,451228,1693137,21938,395783
Chattisgarh,2358,3474615,7242246,4837395,134813,178581,130049,350327,6408069,7954481,259673,1286739,49764,175057
Kerala,6917,1526329,2358880,2695344,327645,381340,215439,372619,7201039,8205049,130584,873426,12990,94972
Dadra & Nagar Haveli,1457,1870906,3132789,2943332,87003,109671,66988,143778,6424529,7291502,151802,715170,8062,99771
Assam,2795,1074713,1791017,1739924,141274,166657,88639,154434,3470513,4236700,98838,667349,7892,51110
Daman & Diu,1940,646109,1626538,1238602,84585,112457,57177,135749,3334090,4038142,71431,632621,33748,69947
Delhi,3920,446921,1268555,1212665,79036,122193,70369,204711,4235920,4868702,44841,587940,35909,82195
Goa,583,622109,1136264,1172426,36076,53152,56151,126485,2593958,3249409,72699,582752,20828,32989
Bihar,2805,526212,773300,882184,90985,106213,58309,85604,3120848,3605131,42784,441499,2267,20532
Puducherry,827,274310,752257,572727,48708,59258,39916,79592,1433418,1820839,28269,359152,8995,32555
Jammu & Kashmir,795,345805,638227,612914,43997,55285,28209,50712,1595539,1902392,28974,277880,1227,36280
Sikkim,64,110841,221030,164922,5235,6844,3825,29178,160843,445997,7352,277803,311,3120
Chandigarh(U.T.),308,86573,158242,161831,8321,12851,12016,26823,501895,580940,7427,71618,1584,10130
Meghalaya,94,264046,389182,316856,6105,7671,4829,9016,204564,287476,16865,66047,1948,11465
Tripura,472,39036,62344,60626,30458,33327,7743,10578,103468,143076,5478,34129,764,2393
Nagaland,84,13067,24234,23393,1900,2208,777,1033,41372,46960,222,5366,61,112
Manipur,96,5101,11213,14105,3894,4563,1815,2213,23088,27451,605,3759,96,399
Andaman & Nicobar Island,17,3960,2815,5010,282,370,213,400,14370,16327,766,1190,24,1048
All India,211660,160700652,222736937,239358002,9901970,12694853,8564552,18329574,385108361,467621696,12055754,70457581,1349336,8802079
