Characteristics,All India,Jammu & Kashmir,Himachal Pradesh,Punjab,Chandigarh(U.T.),Uttarakhand,Haryana,Delhi,Rajasthan,Uttar Pradesh,Bihar,Sikkim,Nagaland,Manipur,Tripura,Meghalaya,Assam,West Bengal,Jharkhand,Odisha,Chattisgarh,Madhya Pradesh,Gujarat,Daman & Diu,Dadra & Nagar Haveli,Maharashtra,Andhra Pradesh,Karnataka,Goa,Kerala,Tamil Nadu,Puducherry,Andaman & Nicobar Island
Number Of Factories,211660,795,2210,12770,308,2739,5967,3920,8172,13756,2805,64,84,96,472,94,2795,8232,2504,2536,2358,4212,21282,1940,1457,27892,26286,10722,583,6917,36848,827,17
Fixed Capital,160700652,345805,3444081,3390757,86573,3614107,5151447,446921,5051634,7485582,526212,110841,13067,5101,39036,264046,1074713,5932796,6364140,12166281,3474615,4635392,27196584,646109,1870906,23261161,16010879,10868616,622109,1526329,14796543,274310,3960
Working Capital,62036285,292422,942098,2499152,71669,1362707,2886269,821634,2516728,4699589,247088,110189,11167,6112,23308,125136,716304,2329464,1832581,587550,3767631,2133906,7920669,980429,1261883,6710285,4054708,4725400,514155,832551,6576699,477947,-1145
Invested Capital,239358002,612914,4610301,6396735,161831,5257320,8663311,1212665,7341468,12346903,882184,164922,23393,14105,60626,316856,1739924,9329431,8879975,14174832,4837395,7053688,39960561,1238602,2943332,35473725,22614430,15344622,1172426,2695344,23256442,572727,5010
Outstanding Loans,82563795,262668,1161534,2313619,192788,1542187,2570182,628713,3177799,3745931,154723,34231,1397,2631,17824,144817,510120,2836324,1584959,9518997,2147287,2776392,10981196,428090,1281348,13251849,6433466,5021543,413882,728323,8297015,400112,1846
Number of Workers,9901970,43997,119818,485029,8321,234079,427346,79036,337868,626446,90985,5235,1900,3894,30458,6105,141274,513975,128410,229404,134813,232158,992050,84585,87003,1203023,1040473,609005,36076,327645,1592571,48708,282
Total Persons Engaged,12694853,55285,156396,613926,12851,288261,546260,122193,431800,808666,106213,6844,2208,4563,33327,7671,166657,635626,188090,282860,178581,310944,1295334,112457,109671,1698122,1300892,781716,53152,381340,1943319,59258,370
Wages to Workers,8564552,28209,94514,323478,12016,196389,396370,70369,262336,482410,58309,3825,777,1815,7743,4829,88639,455432,185383,260723,130049,205010,855537,57177,66988,1405055,764103,593228,56151,215439,1242119,39916,213
Total Emolumnets,18329574,50712,245948,582977,26823,372522,899848,204711,545076,1121446,85604,29178,1033,2213,10578,9016,154434,847407,430379,465713,350327,453081,1947460,135749,143778,3514289,1401902,1325360,126485,372619,2392914,79592,400
Prov. Fund and Other Welfare Exp.,2960431,5285,35997,74773,3776,56149,130926,26700,74940,185896,12634,1504,256,50,1406,945,54575,150224,83614,66508,63873,71370,299072,19454,14652,524759,224257,227516,21707,79022,433677,14850,64
