Sector,Factories,Fixed  Capital,Productive  Capital,Invested  Capital,Workers,Total Persons Engaged,Wages to  Workers,Total  Emoluments,Total  Input,Total Output,Depreciation, Net Value  Added,Rent Paid,Interest  Paid
Rural,78040,93674913,117852272,131443937,4245664,5338418,3264265,6677389,175515098,217406075,6649106,35241871,534887,4200638
Urban,133620,67025739,104884665,107914065,5656306,7356435,5300287,11652185,209593263,250215621,5406648,35215710,814449,4601442
Total,211660,160700652,222736937,239358002,9901970,12694853,8564552,18329574,385108361,467621696,12055754,70457581,1349336,8802079
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
