Sl.No.,District,Upto 20 workers,21 to 50 workers,51 to 100 workers,101 to 250 workers,251 to 500,501 to 1000,1001 & Above
1,Bangalore Urban,2992,2589,1233,827,261,128,108
2,Bangalore Rural,398,358,207,148,52,32,18
3,Ramanagara,170,156,109,68,32,15,7
4,Chitradurga,163,49,12,4,5,0,1
5,Davanagere,167,67,24,12,4,0,0
6,Kolar,108,127,69,49,22,8,12
7,Chikkaballapur,68,32,22,16,8,3,2
8,Shivamogga,141,84,37,18,7,1,6
9,Tumakuru,303,224,87,65,17,9,5
10,Chikkamagaluru,79,25,12,4,1,0,0
11,Dakshina Kannada,341,287,116,59,18,6,6
12,Udupi,127,174,99,76,16,2,1
13,Hassan,55,40,26,7,5,6,5
14,Madikeri ,29,28,7,4,1,0,0
15,Mandya,91,56,15,7,9,4,2
16,Mysore ,327,241,94,71,27,16,17
17,Chamarajanagar,27,14,8,2,1,1,1
18,Belagavi,360,251,133,72,26,11,8
19,Bijapur,51,32,11,8,7,2,1
20,Bagalkote,24,17,9,10,9,8,2
21,Dharwad,283,212,104,46,10,5,6
22,Gadag,83,42,12,3,2,1,0
23,Haveri,106,47,11,6,2,3,1
24,Uttara Kannada,79,26,21,13,1,1,2
25,Ballary,224,54,32,28,12,7,4
26,Bidar,64,48,21,13,3,3,0
27,Kalburagi,118,32,22,5,3,9,3
28,Yadgir,74,27,1,1,1,0,0
29,Raichur,326,89,19,6,1,1,2
30,Koppal,102,49,17,14,3,3,3
31,Vijayanagar,43,26,4,2,2,0,0
